Time - Filtered	Amplitude - Filtered
44:51,5	2,7971
44:51,5	2,79489
44:51,5	2,79436
44:51,6	2,79541
44:51,6	2,79884
44:51,6	2,80064
44:51,6	2,80343
44:51,6	2,80122
44:51,6	2,80448
44:51,6	2,80709
44:51,6	2,80802
44:51,7	2,8057
44:51,7	2,80029
44:51,7	2,80151
44:51,7	2,80204
44:51,7	2,80378
44:51,7	2,80227
44:51,7	2,7993
44:51,7	2,80547
44:51,8	2,80913
44:51,8	2,80837
44:51,8	2,8068
44:51,8	2,80924
44:51,8	2,81174
44:51,8	2,7996
44:51,8	2,79686
44:51,8	2,79268
44:51,9	2,79372
44:51,9	2,79274
44:51,9	2,795
44:51,9	2,79989
44:51,9	2,80209
44:51,9	2,80076
44:51,9	2,80407
44:51,9	2,80448
44:52,0	2,80599
44:52,0	2,8082
44:52,0	2,80134
44:52,0	2,80256
44:52,0	2,80326
44:52,0	2,80093
44:52,0	2,80326
44:52,0	2,81238
44:52,1	2,81302
44:52,1	2,8139
44:52,1	2,79925
44:52,1	2,78971
44:52,1	2,78907
44:52,1	2,79064
44:52,1	2,79448
44:52,1	2,79808
44:52,2	2,81105
44:52,2	2,80459
44:52,2	2,80506
44:52,2	2,80465
44:52,2	2,80157
44:52,2	2,80477
44:52,2	2,81122
44:52,2	2,81122
44:52,3	2,81023
44:52,3	2,80954
44:52,3	2,80785
44:52,3	2,79925
44:52,3	2,78971
44:52,3	2,79622
44:52,3	2,79518
44:52,3	2,79483
44:52,4	2,80105
44:52,4	2,81657
44:52,4	2,81302
44:52,4	2,80872
44:52,4	2,81151
44:52,4	2,81308
44:52,4	2,81157
44:52,4	2,81064
44:52,5	2,81494
44:52,5	2,81186
44:52,5	2,81512
44:52,5	2,81384
44:52,5	2,80593
44:52,5	2,80808
44:52,5	2,80907
44:52,5	2,81134
44:52,6	2,80744
44:52,6	2,80977
44:52,6	2,81669
44:52,6	2,81343
44:52,6	2,81424
44:52,6	2,81796
44:52,6	2,81663
