Time - Filtered	Amplitude - Filtered
01:50,6	3,11913
01:50,6	3,12209
01:50,6	3,12506
01:50,6	3,13296
01:50,7	3,13343
01:50,7	3,13372
01:50,7	3,13593
01:50,7	3,13814
01:50,7	3,1411
01:50,7	3,14767
01:50,7	3,14814
01:50,7	3,14953
01:50,7	3,14988
01:50,7	3,15034
01:50,8	3,15023
01:50,8	3,15034
01:50,8	3,15093
01:50,8	3,15162
01:50,8	3,14953
01:50,8	3,15238
01:50,8	3,14744
01:50,8	3,14779
01:50,8	3,14848
01:50,8	3,14872
01:50,9	3,14982
01:50,9	3,15104
01:50,9	3,15249
01:50,9	3,15383
01:50,9	3,15482
01:50,9	3,15529
01:50,9	3,15511
01:50,9	3,15511
01:50,9	3,15494
01:50,9	3,15529
01:51,0	3,1554
01:51,0	3,1554
01:51,0	3,15465
01:51,0	3,15465
01:51,0	3,1543
01:51,0	3,15389
01:51,0	3,15029
01:51,0	3,15523
01:51,0	3,15465
01:51,0	3,15715
01:51,1	3,15953
01:51,1	3,15656
01:51,1	3,1561
01:51,1	3,15633
01:51,1	3,15563
01:51,1	3,15482
01:51,1	3,15436
01:51,1	3,15366
01:51,1	3,15319
01:51,1	3,15249
01:51,2	3,15453
01:51,2	3,15639
01:51,2	3,15604
01:51,2	3,15604
01:51,2	3,15494
01:51,2	3,15395
01:51,2	3,15284
01:51,2	3,15261
01:51,2	3,14901
01:51,2	3,14901
01:51,3	3,14581
01:51,3	3,14244
01:51,3	3,14081
01:51,3	3,14093
01:51,3	3,13883
01:51,3	3,14029
01:51,3	3,13924
01:51,3	3,13773
01:51,3	3,13645
01:51,3	3,13494
01:51,4	3,13296
01:51,4	3,1286
01:51,4	3,12442
01:51,4	3,12256
01:51,4	3,12111
01:51,4	3,12
01:51,4	3,11814
01:51,4	3,1164
01:51,4	3,115
01:51,4	3,11837
01:51,5	3,11587
01:51,5	3,11337
01:51,5	3,11151
01:51,5	3,11029
01:51,5	3,10768
01:51,5	3,10646
01:51,5	3,10163
01:51,5	3,09983
01:51,5	3,09826
01:51,5	3,0957
01:51,6	3,09408
01:51,6	3,09268
01:51,6	3,0907
01:51,6	3,08931
01:51,6	3,0878
01:51,6	3,08617
01:51,6	3,08431
01:51,6	3,08321
01:51,6	3,08158
01:51,6	3,07972
01:51,7	3,07745
01:51,7	3,07582
01:51,7	3,07472
01:51,7	3,07361
01:51,7	3,0721
01:51,7	3,07053
01:51,7	3,06879
01:51,7	3,06803
01:51,7	3,06687
01:51,7	3,06786
01:51,8	3,06745
01:51,8	3,06635
01:51,8	3,06548
01:51,8	3,06495
01:51,8	3,06408
01:51,8	3,06321
01:51,8	3,06507
01:51,8	3,06443
01:51,8	3,06303
01:51,8	3,06269
01:51,9	3,05937
