Time - Filtered	Amplitude - Filtered
27:03,4	3,1071
27:03,4	3,11058
27:03,4	3,11064
27:03,4	3,11029
27:03,4	3,10931
27:03,4	3,11279
27:03,4	3,11105
27:03,4	3,11163
27:03,4	3,11366
27:03,5	3,11018
27:03,5	3,1071
27:03,5	3,10745
27:03,5	3,09971
27:03,5	3,09931
27:03,5	3,09262
27:03,5	3,09669
27:03,5	3,09733
27:03,5	3,10489
27:03,5	3,10512
27:03,5	3,10663
27:03,6	3,10977
27:03,6	3,1107
27:03,6	3,10768
27:03,6	3,10808
27:03,6	3,10407
27:03,6	3,09873
27:03,6	3,09844
27:03,6	3,10035
27:03,6	3,10093
27:03,6	3,10245
27:03,6	3,11029
27:03,7	3,10919
27:03,7	3,10175
27:03,7	3,10198
27:03,7	3,1046
27:03,7	3,1057
27:03,7	3,10843
27:03,7	3,11361
27:03,7	3,10954
27:03,7	3,11233
27:03,7	3,11221
27:03,7	3,11146
27:03,8	3,11332
27:03,8	3,11343
27:03,8	3,11314
27:03,8	3,11175
27:03,8	3,11122
27:03,8	3,09855
27:03,8	3,0978
27:03,8	3,09873
27:03,8	3,09785
27:03,8	3,09803
27:03,8	3,10564
27:03,8	3,10622
27:03,9	3,10832
27:03,9	3,10826
27:03,9	3,10349
27:03,9	3,09948
27:03,9	3,10704
27:03,9	3,10797
27:03,9	3,10402
27:03,9	3,115
27:03,9	3,11506
27:03,9	3,11099
27:04,0	3,10855
27:04,0	3,10826
27:04,0	3,10506
27:04,0	3,10652
27:04,0	3,11058
27:04,0	3,10576
27:04,0	3,1089
27:04,0	3,10745
27:04,0	3,10204
27:04,0	3,10152
27:04,0	3,10913
27:04,1	3,10681
27:04,1	3,10663
27:04,1	3,11105
27:04,1	3,10867
27:04,1	3,10221
27:04,1	3,10018
27:04,1	3,09884
27:04,1	3,09809
27:04,1	3,0978
27:04,1	3,10152
27:04,1	3,10884
27:04,2	3,10838
27:04,2	3,10088
27:04,2	3,10867
27:04,2	3,10634
27:04,2	3,10733
27:04,2	3,10843
27:04,2	3,10954
27:04,2	3,10628
27:04,2	3,11221
27:04,2	3,11117
27:04,2	3,10872
27:04,2	3,11273
27:04,2	3,10919
27:04,3	3,10483
27:04,3	3,11366
27:04,3	3,11117
27:04,3	3,10524
27:04,3	3,1118
27:04,3	3,11669
27:04,3	3,10599
27:04,3	3,1143
27:04,3	3,11407
27:04,3	3,10634
27:04,3	3,10686
27:04,3	3,11541
27:04,3	3,10279
27:04,3	3,10024
27:04,3	3,11204
27:04,4	3,11308
27:04,4	3,10681
27:04,4	3,11948
27:04,4	3,12023
27:04,4	3,11558
27:04,4	3,11657
27:04,4	3,11895
27:04,4	3,10541
27:04,4	3,10791
27:04,4	3,11273
27:04,4	3,10779
27:04,4	3,10239
27:04,4	3,11105
27:04,4	3,10965
27:04,4	3,10547
27:04,5	3,11053
27:04,5	3,11506
27:04,5	3,11442
27:04,5	3,11326
27:04,5	3,11721
27:04,5	3,11151
27:04,5	3,10669
27:04,5	3,11006
27:04,5	3,10646
27:04,5	3,10076
27:04,5	3,10878
27:04,5	3,10861
27:04,5	3,10611
27:04,5	3,11802
27:04,6	3,11965
27:04,6	3,11122
27:04,6	3,11925
27:04,6	3,12174
27:04,6	3,10907
27:04,6	3,11628
27:04,6	3,11762
27:04,6	3,10948
27:04,6	3,11134
27:04,6	3,10977
27:04,6	3,10849
27:04,6	3,11384
27:04,6	3,11599
27:04,6	3,11169
27:04,6	3,11018
27:04,7	3,11221
27:04,7	3,11012
27:04,7	3,10675
27:04,7	3,11529
27:04,7	3,11884
27:04,7	3,11337
27:04,7	3,11715
27:04,7	3,12169
27:04,7	3,1114
27:04,7	3,11105
27:04,7	3,11628
27:04,7	3,1139
27:04,7	3,10756
27:04,7	3,11756
27:04,8	3,1107
27:04,8	3,11465
27:04,8	3,11744
27:04,8	3,11558
27:04,8	3,11256
27:04,8	3,11744
27:04,8	3,11959
27:04,8	3,11192
27:04,8	3,11802
27:04,8	3,11901
27:04,8	3,11407
27:04,8	3,11372
27:04,8	3,12012
27:04,8	3,11105
27:04,8	3,10756
27:04,9	3,11279
27:04,9	3,1125
27:04,9	3,10599
27:04,9	3,11308
27:04,9	3,11721
27:04,9	3,11024
27:04,9	3,11489
27:04,9	3,11791
27:04,9	3,11419
27:04,9	3,12018
27:04,9	3,12576
27:04,9	3,12343
27:04,9	3,12535
27:04,9	3,12814
27:05,0	3,12744
27:05,0	3,12424
27:05,0	3,12651
27:05,0	3,12674
27:05,0	3,12372
27:05,0	3,1243
27:05,0	3,13099
27:05,0	3,12198
27:05,0	3,11959
27:05,0	3,12192
27:05,0	3,11558
27:05,0	3,11047
27:05,0	3,11541
27:05,0	3,11436
27:05,0	3,11332
27:05,1	3,12105
27:05,1	3,12186
27:05,1	3,11954
27:05,1	3,12204
27:05,1	3,11942
27:05,1	3,11419
27:05,1	3,11866
27:05,1	3,1189
27:05,1	3,11163
27:05,1	3,10919
27:05,1	3,11372
27:05,1	3,10878
27:05,1	3,10721
27:05,1	3,1114
27:05,1	3,11704
27:05,2	3,11686
27:05,2	3,12105
27:05,2	3,12233
27:05,2	3,11366
27:05,2	3,10779
27:05,2	3,11494
27:05,2	3,10954
27:05,2	3,10332
27:05,2	3,11093
27:05,2	3,11378
27:05,2	3,10878
27:05,2	3,11425
27:05,2	3,11558
27:05,2	3,11907
27:05,3	3,12663
27:05,3	3,12913
27:05,3	3,12198
27:05,3	3,12302
27:05,3	3,12715
27:05,3	3,12081
27:05,3	3,11582
27:05,3	3,12849
27:05,3	3,12436
27:05,3	3,12628
27:05,3	3,13099
27:05,3	3,12948
27:05,3	3,12378
27:05,3	3,12733
27:05,3	3,12599
27:05,4	3,11832
27:05,4	3,12198
27:05,4	3,12366
27:05,4	3,11675
27:05,4	3,1096
27:05,4	3,11087
27:05,4	3,1071
27:05,4	3,10436
27:05,4	3,11593
27:05,4	3,12634
27:05,4	3,13023
27:05,4	3,13459
27:05,4	3,1361
27:05,4	3,12622
27:05,5	3,12169
27:05,5	3,1218
27:05,5	3,11826
27:05,5	3,11837
27:05,5	3,12657
27:05,5	3,13134
27:05,5	3,12331
27:05,5	3,12831
27:05,5	3,13157
27:05,5	3,12547
27:05,5	3,12227
27:05,5	3,13209
27:05,5	3,12622
27:05,5	3,11808
27:05,5	3,1193
27:05,6	3,11361
27:05,6	3,11146
27:05,6	3,12047
27:05,6	3,13017
27:05,6	3,12709
27:05,6	3,13488
27:05,6	3,13192
27:05,6	3,12163
27:05,6	3,12314
27:05,6	3,12448
27:05,6	3,11907
27:05,6	3,1264
27:05,6	3,13006
27:05,6	3,12738
27:05,7	3,12215
27:05,7	3,12982
27:05,7	3,13128
27:05,7	3,12605
27:05,7	3,1311
27:05,7	3,13593
27:05,7	3,12756
27:05,7	3,12529
27:05,7	3,12808
27:05,7	3,12209
27:05,7	3,12052
27:05,7	3,13006
27:05,7	3,1275
27:05,7	3,12291
27:05,8	3,13052
27:05,8	3,1218
27:05,8	3,11349
27:05,8	3,1118
27:05,8	3,11605
27:05,8	3,10535
27:05,8	3,11047
27:05,8	3,1236
27:05,8	3,1243
27:05,8	3,12023
27:05,8	3,12977
27:05,8	3,1282
27:05,8	3,12087
27:05,8	3,12541
27:05,8	3,1293
27:05,9	3,12302
27:05,9	3,12331
27:05,9	3,13285
27:05,9	3,12523
27:05,9	3,12291
27:05,9	3,13273
27:05,9	3,12936
27:05,9	3,12988
27:05,9	3,13558
27:05,9	3,13744
27:05,9	3,13006
27:05,9	3,13314
27:05,9	3,135
27:05,9	3,1236
27:06,0	3,12924
27:06,0	3,13413
27:06,0	3,13186
27:06,0	3,13012
27:06,0	3,1393
27:06,0	3,13436
27:06,0	3,12802
27:06,0	3,13035
27:06,0	3,12977
27:06,0	3,11832
27:06,0	3,11797
27:06,0	3,12523
27:06,0	3,12064
27:06,0	3,12209
27:06,0	3,13343
27:06,1	3,1375
27:06,1	3,13343
27:06,1	3,13738
27:06,1	3,13756
27:06,1	3,1307
27:06,1	3,13645
27:06,1	3,14093
27:06,1	3,13808
27:06,1	3,1404
27:06,1	3,14866
27:06,1	3,13843
27:06,1	3,13389
27:06,1	3,13761
27:06,1	3,14244
27:06,2	3,12314
27:06,2	3,12686
27:06,2	3,12721
27:06,2	3,12041
27:06,2	3,11483
27:06,2	3,11704
27:06,2	3,11704
27:06,2	3,12169
27:06,2	3,12558
27:06,2	3,12936
27:06,2	3,12483
27:06,2	3,12982
27:06,2	3,1282
27:06,2	3,12523
27:06,2	3,12913
27:06,3	3,13982
27:06,3	3,13198
27:06,3	3,13209
27:06,3	3,14035
27:06,3	3,14122
27:06,3	3,13889
27:06,3	3,14575
27:06,3	3,14261
27:06,3	3,13593
27:06,3	3,14093
27:06,3	3,14471
27:06,3	3,13785
27:06,3	3,14389
27:06,3	3,14657
27:06,4	3,14139
27:06,4	3,13674
27:06,4	3,1411
27:06,4	3,13721
27:06,4	3,13168
27:06,4	3,1286
